 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 toilet paper, bagels, shampoo, coffee/tea, ,,,,,,,,,
 laundry detergent, coffee/tea, eggs, aluminum foil, beef, juice, flour, sugar, individual meals, waffles, bagels, vegetables, coffee/tea, spaghetti sauce
 dishwashing liquid/detergent, yogurt, juice, sugar, soap, sandwich loaves, butter, sandwich loaves, coffee/tea, ketchup, aluminum foil, dishwashing liquid/detergent, mixes, laundry detergent
 fruits, all- purpose, pork, juice, bagels, mixes, ,,,,,,,
 vegetables, cereals, sugar, bagels, soda, ,,,,,,,,
 vegetables, aluminum foil, bagels, vegetables, shampoo, shampoo, vegetables, dishwashing liquid/detergent, cereals, cheeses, flour, lunch meat, pasta, soda
 all- purpose, pasta, cheeses, juice, sandwich bags, vegetables, sandwich loaves, coffee/tea, juice, lunch meat, spaghetti sauce, paper towels, hand soap, soap
 sugar, pork, sandwich loaves, tortillas, ice cream, all- purpose, yogurt, fruits, pasta, lunch meat, dishwashing liquid/detergent, juice, vegetables, vegetables
 sandwich loaves, vegetables, coffee/tea, aluminum foil, vegetables, shampoo, cereals, dinner rolls, coffee/tea, poultry, butter, juice, paper towels, vegetables
 pork, pasta, cheeses, fruits, sugar, lunch meat, laundry detergent, paper towels, butter, sandwich loaves, ice cream, waffles, all- purpose, sandwich bags
 bagels, poultry, pasta, butter, all- purpose, pasta, shampoo, sugar, ketchup, eggs, soda, tortillas, soap, individual meals
 butter, sandwich loaves, spaghetti sauce, juice, dinner rolls, all- purpose, pork, yogurt, vegetables, spaghetti sauce, vegetables, ,,
 bagels, cheeses, sandwich loaves, toilet paper, ,,,,,,,,,
 eggs, ice cream, pasta, juice, waffles, shampoo, dinner rolls, soda, vegetables, laundry detergent, hand soap, waffles, cereals, vegetables
 paper towels, individual meals, dinner rolls, vegetables, lunch meat, sugar, soap, eggs, beef, yogurt, soda, sandwich loaves, aluminum foil, dinner rolls
 pork, sandwich bags, ketchup, coffee/tea, vegetables, soda, poultry, pasta, all- purpose, coffee/tea, paper towels, individual meals, vegetables, poultry
 mixes, vegetables, soap, hand soap, tortillas, coffee/tea, cheeses, tortillas, cheeses, ice cream, tortillas, beef, yogurt, spaghetti sauce
 cheeses, cereals, mixes, laundry detergent, juice, pork, bagels, sandwich loaves, yogurt, milk, sandwich loaves, spaghetti sauce, cereals, individual meals
 vegetables, lunch meat, flour, juice, yogurt, shampoo, spaghetti sauce, ketchup, laundry detergent, dinner rolls, ketchup, vegetables, shampoo, sugar
 lunch meat, dinner rolls, shampoo, vegetables, hand soap, mixes, vegetables, pasta, sugar, vegetables, ,,,
 hand soap, dinner rolls, hand soap, lunch meat, laundry detergent, pasta, aluminum foil, toilet paper, cereals, coffee/tea, toilet paper, vegetables, juice, lunch meat
 milk, dinner rolls, beef, coffee/tea, waffles, beef, eggs, sandwich bags, tortillas, vegetables, tortillas, all- purpose, vegetables, yogurt
 sandwich bags, poultry, beef, coffee/tea, mixes, poultry, sandwich loaves, shampoo, ice cream, poultry, shampoo, ,,
 hand soap, fruits, poultry, coffee/tea, sugar, tortillas, soda, individual meals, tortillas, milk, toilet paper, soda, poultry, coffee/tea
 shampoo, waffles, bagels, mixes, shampoo, mixes, beef, dinner rolls, beef, shampoo, aluminum foil, individual meals, sugar, spaghetti sauce
 butter, ketchup, shampoo, juice, mixes, milk, shampoo, tortillas, laundry detergent, flour, cereals, soap, toilet paper, butter
 hand soap, waffles, laundry detergent, shampoo, lunch meat, cheeses, vegetables, hand soap, cereals, vegetables, dishwashing liquid/detergent, soda, spaghetti sauce, aluminum foil
 cereals, toilet paper, waffles, soda, pork, yogurt, pork, all- purpose, toilet paper, vegetables, spaghetti sauce, toilet paper, vegetables, laundry detergent
 spaghetti sauce, sandwich bags, ice cream, fruits, soap, cheeses, waffles, tortillas, sugar, toilet paper, ketchup, beef, beef, poultry
 waffles, vegetables, beef, fruits, sandwich loaves, ketchup, cheeses, sugar, shampoo, butter, laundry detergent, poultry, waffles, soap
 mixes, individual meals, laundry detergent, coffee/tea, hand soap, pasta, individual meals, cereals, spaghetti sauce, pasta, cereals, fruits, flour, vegetables
 aluminum foil, sandwich bags, all- purpose, shampoo, beef, sandwich loaves, aluminum foil, ice cream, fruits, lunch meat, all- purpose, bagels, vegetables, sandwich loaves
 cereals, beef, flour, sugar, beef, eggs, aluminum foil, vegetables, pork, soda, mixes, vegetables, ketchup, vegetables
 sugar, pasta, sandwich loaves, mixes, butter, pasta, aluminum foil, tortillas, paper towels, yogurt, coffee/tea, sandwich bags, soda, poultry
 cereals, mixes, cereals, pork, cheeses, poultry, all- purpose, ketchup, dishwashing liquid/detergent, hand soap, beef, ketchup, mixes, ice cream
 flour, butter, vegetables, lunch meat, toilet paper, tortillas, laundry detergent, milk, poultry, laundry detergent, milk, soda, butter, spaghetti sauce
 butter, waffles, aluminum foil, coffee/tea, vegetables, vegetables, mixes, paper towels, juice, tortillas, dinner rolls, eggs, shampoo, waffles
 tortillas, soda, beef, flour, eggs, vegetables, cheeses, lunch meat, coffee/tea, yogurt, dinner rolls, ice cream, pasta, fruits
 poultry, eggs, eggs, ketchup, beef, toilet paper, soda, pork, ice cream, hand soap, shampoo, yogurt, fruits, waffles
 spaghetti sauce, shampoo, ice cream, waffles, soda, dishwashing liquid/detergent, lunch meat, soap, juice, all- purpose, vegetables, ketchup, individual meals, fruits
 all- purpose, dishwashing liquid/detergent, soap, vegetables, milk, shampoo, coffee/tea, spaghetti sauce, aluminum foil, ice cream, pasta, all- purpose, eggs, tortillas
 sandwich loaves, laundry detergent, ice cream, spaghetti sauce, milk, vegetables, all- purpose, cereals, hand soap, waffles, cereals, lunch meat, poultry, milk
 flour, laundry detergent, poultry, milk, cheeses, pork, cereals, aluminum foil, ,,,,,
 fruits, all- purpose, juice, toilet paper, ,,,,,,,,,
 laundry detergent, laundry detergent, spaghetti sauce, beef, cheeses, shampoo, vegetables, waffles, cereals, sandwich bags, pasta, fruits, soap, vegetables
 yogurt, ice cream, ice cream, toilet paper, ice cream, coffee/tea, sandwich bags, soda, ketchup, aluminum foil, all- purpose, pork, eggs, waffles
 butter, flour, vegetables, bagels, sandwich bags, ice cream, sandwich loaves, flour, individual meals, ice cream, cheeses, milk, sandwich bags, poultry
 hand soap, shampoo, beef, paper towels, mixes, lunch meat, pasta, shampoo, hand soap, pasta, milk, toilet paper, butter, eggs
 hand soap, fruits, sandwich loaves, lunch meat, vegetables, individual meals, individual meals, sugar, fruits, cereals, ketchup, laundry detergent, cheeses, cheeses
 cereals, yogurt, mixes, yogurt, sandwich loaves, hand soap, sugar, mixes, shampoo, all- purpose, pasta, cheeses, flour, poultry
 lunch meat, sandwich bags, yogurt, ice cream, ice cream, individual meals, sugar, dishwashing liquid/detergent, flour, vegetables, paper towels, fruits, cheeses, vegetables
 milk, yogurt, sugar, laundry detergent, vegetables, dishwashing liquid/detergent, cereals, ,,,,,,
 soda, ketchup, poultry, vegetables, ,,,,,,,,,
 toilet paper, all- purpose, vegetables, juice, bagels, cheeses, fruits, vegetables, toilet paper, shampoo, eggs, butter, shampoo, butter
 pasta, sugar, ketchup, waffles, all- purpose, vegetables, fruits, sandwich bags, sandwich bags, hand soap, dishwashing liquid/detergent, butter, ,
 ketchup, milk, cereals, dishwashing liquid/detergent, butter, ice cream, laundry detergent, butter, aluminum foil, cereals, vegetables, spaghetti sauce, hand soap, mixes
 vegetables, vegetables, ketchup, yogurt, cheeses, juice, all- purpose, mixes, ketchup, mixes, shampoo, milk, fruits, vegetables
 individual meals, coffee/tea, lunch meat, butter, paper towels, pasta, ,,,,,,,
 laundry detergent, yogurt, toilet paper, tortillas, dinner rolls, tortillas, tortillas, soap, fruits, sandwich bags, vegetables, dishwashing liquid/detergent, milk, ketchup
 dishwashing liquid/detergent, ketchup, dishwashing liquid/detergent, sugar, mixes, all- purpose, fruits, cereals, ice cream, lunch meat, sugar, ,,
 dishwashing liquid/detergent, fruits, mixes, bagels, beef, ice cream, individual meals, bagels, butter, ,,,,
 toilet paper, butter, lunch meat, individual meals, toilet paper, butter, poultry, cheeses, laundry detergent, spaghetti sauce, waffles, sandwich loaves, ,
 all- purpose, paper towels, ketchup, beef, soap, pork, waffles, lunch meat, cheeses, shampoo, spaghetti sauce, pork, poultry, all- purpose
 vegetables, ketchup, soda, fruits, aluminum foil, yogurt, bagels, yogurt, milk, eggs, dishwashing liquid/detergent, ,,
 soda, bagels, milk, fruits, pasta, spaghetti sauce, soap, cheeses, spaghetti sauce, juice, fruits, beef, toilet paper, dishwashing liquid/detergent
 all- purpose, vegetables, individual meals, vegetables, toilet paper, pork, sandwich bags, paper towels, toilet paper, shampoo, coffee/tea, shampoo, juice, waffles
 soap, cheeses, sandwich loaves, aluminum foil, bagels, tortillas, individual meals, hand soap, butter, ,,,,
 aluminum foil, pork, fruits, sandwich bags, poultry, coffee/tea, bagels, hand soap, vegetables, mixes, ketchup, waffles, paper towels, tortillas
 ketchup, all- purpose, beef, shampoo, sandwich loaves, coffee/tea, ketchup, vegetables, milk, butter, vegetables, pork, yogurt, vegetables
 individual meals, shampoo, beef, sandwich bags, eggs, vegetables, shampoo, sandwich loaves, ketchup, poultry, dishwashing liquid/detergent, beef, lunch meat, cereals
 individual meals, sugar, spaghetti sauce, pasta, vegetables, cheeses, cheeses, fruits, fruits, lunch meat, vegetables, fruits, spaghetti sauce, individual meals
 beef, aluminum foil, dishwashing liquid/detergent, eggs, juice, laundry detergent, beef, soda, laundry detergent, aluminum foil, soap, ,,
 paper towels, individual meals, individual meals, aluminum foil, beef, ,,,,,,,,
 cereals, sugar, tortillas, coffee/tea, sandwich loaves, dishwashing liquid/detergent, dishwashing liquid/detergent, dinner rolls, vegetables, mixes, all- purpose, ice cream, ,
 bagels, shampoo, sandwich bags, soap, ice cream, juice, shampoo, spaghetti sauce, vegetables, yogurt, ketchup, ,,
 bagels, soda, vegetables, shampoo, vegetables, poultry, eggs, waffles, lunch meat, dinner rolls, beef, butter, ,
 tortillas, waffles, vegetables, pork, beef, mixes, vegetables, poultry, soap, toilet paper, waffles, vegetables, ketchup, poultry
 ketchup, laundry detergent, pork, cheeses, shampoo, juice, yogurt, juice, eggs, coffee/tea, sandwich bags, flour, vegetables, beef
 soap, pork, tortillas, soap, ,,,,,,,,,
 fruits, paper towels, sugar, individual meals, hand soap, milk, soda, ,,,,,,
 coffee/tea, pork, aluminum foil, cheeses, soda, soda, bagels, vegetables, ,,,,,
 laundry detergent, juice, ketchup, cheeses, aluminum foil, waffles, pasta, vegetables, yogurt, eggs, aluminum foil, tortillas, toilet paper, paper towels
 eggs, tortillas, vegetables, soda, vegetables, cereals, vegetables, mixes, toilet paper, bagels, dinner rolls, ,,
 butter, cereals, cereals, vegetables, lunch meat, milk, milk, ice cream, butter, butter, poultry, paper towels, cheeses, lunch meat
 cereals, lunch meat, sandwich loaves, vegetables, vegetables, pork, butter, poultry, soap, toilet paper, ,,,
 sandwich bags, flour, all- purpose, shampoo, coffee/tea, bagels, shampoo, ,,,,,,
 dishwashing liquid/detergent, toilet paper, spaghetti sauce, mixes, all- purpose, cheeses, toilet paper, toilet paper, vegetables, coffee/tea, lunch meat, spaghetti sauce, flour, individual meals
 cereals, ketchup, shampoo, dishwashing liquid/detergent, bagels, beef, eggs, pasta, dishwashing liquid/detergent, individual meals, waffles, soap, milk, pork
 cheeses, cereals, sugar, soap, hand soap, sugar, spaghetti sauce, milk, coffee/tea, aluminum foil, soda, cereals, ice cream, vegetables
 ketchup, lunch meat, juice, waffles, sandwich loaves, vegetables, vegetables, cheeses, vegetables, pork, lunch meat, beef, tortillas, bagels
 pasta, all- purpose, bagels, lunch meat, poultry, paper towels, coffee/tea, sugar, cereals, vegetables, hand soap, dishwashing liquid/detergent, mixes, bagels
 poultry, vegetables, pork, vegetables, vegetables, vegetables, individual meals, hand soap, vegetables, hand soap, pasta, all- purpose, toilet paper, mixes
 laundry detergent, cereals, toilet paper, sandwich bags, poultry, vegetables, ketchup, mixes, dishwashing liquid/detergent, poultry, pork, flour, lunch meat, eggs
 fruits, dishwashing liquid/detergent, mixes, vegetables, waffles, poultry, soda, pork, sugar, poultry, flour, dishwashing liquid/detergent, hand soap, bagels
 pork, aluminum foil, fruits, aluminum foil, cereals, lunch meat, coffee/tea, yogurt, bagels, sugar, sugar, eggs, sugar, fruits
 sandwich loaves, vegetables, paper towels, vegetables, pasta, dishwashing liquid/detergent, ketchup, soda, soda, sandwich bags, dinner rolls, all- purpose, ketchup, waffles
 waffles, beef, individual meals, beef, shampoo, ice cream, cheeses, poultry, vegetables, dinner rolls, pasta, lunch meat, fruits, bagels
 bagels, coffee/tea, eggs, dishwashing liquid/detergent, cheeses, laundry detergent, hand soap, ,,,,,,
 ice cream, shampoo, vegetables, milk, toilet paper, cereals, laundry detergent, dinner rolls, sugar, pork, flour, sugar, ,
 pasta, ketchup, sandwich bags, waffles, sugar, beef, pork, milk, ice cream, soda, fruits, cereals, vegetables, fruits
 bagels, cheeses, soda, poultry, cheeses, vegetables, flour, dinner rolls, hand soap, laundry detergent, flour, vegetables, milk, dinner rolls
 cheeses, yogurt, coffee/tea, coffee/tea, beef, toilet paper, shampoo, sandwich loaves, ketchup, sandwich loaves, paper towels, vegetables, vegetables, pork
 paper towels, sugar, vegetables, sandwich loaves, spaghetti sauce, shampoo, ,,,,,,,
 beef, beef, sugar, toilet paper, aluminum foil, aluminum foil, hand soap, all- purpose, yogurt, eggs, flour, fruits, waffles, waffles
 juice, waffles, vegetables, waffles, lunch meat, spaghetti sauce, juice, all- purpose, flour, soap, waffles, juice, spaghetti sauce, vegetables
 vegetables, soap, soda, cheeses, toilet paper, shampoo, eggs, paper towels, mixes, individual meals, coffee/tea, all- purpose, sugar, waffles
 coffee/tea, sugar, cheeses, tortillas, all- purpose, milk, pasta, poultry, paper towels, yogurt, eggs, toilet paper, bagels, pork
 cheeses, tortillas, spaghetti sauce, yogurt, beef, sandwich bags, laundry detergent, vegetables, soap, eggs, yogurt, juice, shampoo, vegetables
 fruits, dinner rolls, vegetables, sandwich loaves, flour, eggs, pork, pork, spaghetti sauce, spaghetti sauce, ,,,
 butter, butter, poultry, beef, soap, fruits, vegetables, toilet paper, bagels, sugar, tortillas, poultry, toilet paper, fruits
 soap, sandwich bags, ice cream, individual meals, ice cream, mixes, aluminum foil, bagels, sandwich bags, cereals, butter, beef, dishwashing liquid/detergent, laundry detergent
 paper towels, spaghetti sauce, cereals, dinner rolls, tortillas, toilet paper, sugar, ,,,,,,
 cereals, spaghetti sauce, lunch meat, fruits, spaghetti sauce, beef, shampoo, individual meals, paper towels, cheeses, aluminum foil, cheeses, coffee/tea, poultry
 cheeses, aluminum foil, lunch meat, dinner rolls, sandwich bags, dinner rolls, flour, fruits, soda, aluminum foil, vegetables, eggs, mixes, sandwich bags
 laundry detergent, laundry detergent, individual meals, poultry, juice, juice, lunch meat, sandwich bags, beef, dinner rolls, milk, toilet paper, pasta, ice cream
 pork, mixes, flour, vegetables, dishwashing liquid/detergent, vegetables, toilet paper, coffee/tea, soap, bagels, waffles, coffee/tea, pork, individual meals
 pasta, eggs, cheeses, vegetables, all- purpose, ice cream, hand soap, shampoo, ice cream, vegetables, bagels, sandwich loaves, waffles, coffee/tea
 juice, sugar, bagels, spaghetti sauce, ketchup, shampoo, tortillas, sandwich loaves, vegetables, flour, mixes, dishwashing liquid/detergent, poultry, milk
 eggs, ketchup, waffles, butter, sandwich loaves, sugar, sandwich bags, vegetables, shampoo, laundry detergent, sandwich bags, vegetables, cheeses, cereals
 fruits, cheeses, waffles, vegetables, sandwich bags, aluminum foil, pasta, lunch meat, flour, butter, aluminum foil, poultry, ,
 tortillas, fruits, toilet paper, milk, butter, cereals, cereals, pasta, bagels, sandwich loaves, beef, cereals, aluminum foil, coffee/tea
 laundry detergent, vegetables, ice cream, milk, sugar, mixes, vegetables, tortillas, toilet paper, milk, sandwich bags, poultry, soda, sandwich loaves
 butter, cereals, soda, dishwashing liquid/detergent, cheeses, cheeses, sandwich loaves, flour, hand soap, cereals, individual meals, ,,
 bagels, aluminum foil, beef, flour, spaghetti sauce, vegetables, ,,,,,,,
 pasta, butter, vegetables, dinner rolls, all- purpose, ketchup, cereals, ice cream, toilet paper, spaghetti sauce, ,,,
 pasta, yogurt, waffles, vegetables, waffles, mixes, cereals, eggs, soda, spaghetti sauce, mixes, dinner rolls, pasta, 
 bagels, aluminum foil, flour, individual meals, dinner rolls, ketchup, tortillas, butter, aluminum foil, paper towels, toilet paper, laundry detergent, dinner rolls, vegetables
 pasta, fruits, aluminum foil, hand soap, vegetables, all- purpose, flour, ,,,,,,
 pork, hand soap, vegetables, ketchup, yogurt, butter, ice cream, lunch meat, laundry detergent, lunch meat, butter, yogurt, all- purpose, waffles
 vegetables, juice, cereals, pork, poultry, sugar, vegetables, shampoo, yogurt, soap, ,,,
 individual meals, dishwashing liquid/detergent, coffee/tea, dishwashing liquid/detergent, spaghetti sauce, cereals, milk, paper towels, lunch meat, vegetables, sugar, beef, toilet paper, spaghetti sauce
 ketchup, milk, all- purpose, mixes, cheeses, individual meals, yogurt, yogurt, paper towels, vegetables, pork, shampoo, pork, sugar
 ice cream, butter, ketchup, ketchup, vegetables, pasta, sugar, eggs, sandwich loaves, individual meals, spaghetti sauce, dinner rolls, aluminum foil, eggs
 ketchup, cheeses, individual meals, spaghetti sauce, dishwashing liquid/detergent, soap, all- purpose, fruits, eggs, bagels, beef, waffles, sandwich loaves, vegetables
 spaghetti sauce, paper towels, soap, eggs, mixes, coffee/tea, tortillas, eggs, waffles, laundry detergent, ,,,
 soda, spaghetti sauce, fruits, beef, lunch meat, sugar, yogurt, aluminum foil, vegetables, ketchup, dishwashing liquid/detergent, vegetables, eggs, dishwashing liquid/detergent
 pasta, vegetables, sugar, pasta, sugar, bagels, milk, coffee/tea, flour, dinner rolls, aluminum foil, vegetables, ketchup, aluminum foil
 cereals, sandwich bags, juice, tortillas, spaghetti sauce, ,,,,,,,,
 juice, poultry, sandwich bags, individual meals, shampoo, yogurt, fruits, coffee/tea, vegetables, ice cream, poultry, pork, coffee/tea, vegetables
 all- purpose, coffee/tea, vegetables, eggs, beef, juice, bagels, vegetables, fruits, juice, vegetables, hand soap, flour, sugar
 eggs, sandwich bags, cereals, hand soap, pasta, laundry detergent, poultry, eggs, pork, pasta, laundry detergent, ,,
 bagels, vegetables, toilet paper, cereals, sugar, laundry detergent, fruits, butter, dinner rolls, ice cream, bagels, ketchup, ,
 yogurt, toilet paper, coffee/tea, mixes, milk, soda, milk, cereals, ,,,,,
 pork, hand soap, dishwashing liquid/detergent, vegetables, fruits, cheeses, toilet paper, coffee/tea, vegetables, yogurt, dinner rolls, milk, poultry, cheeses
 sandwich bags, coffee/tea, cereals, dishwashing liquid/detergent, soap, dishwashing liquid/detergent, paper towels, ketchup, beef, spaghetti sauce, fruits, sandwich bags, sandwich bags, cheeses
 coffee/tea, ice cream, bagels, pork, ,,,,,,,,,
 all- purpose, ketchup, eggs, dishwashing liquid/detergent, sugar, eggs, waffles, juice, dishwashing liquid/detergent, flour, eggs, all- purpose, flour, sandwich bags
 tortillas, vegetables, milk, hand soap, fruits, coffee/tea, sugar, pork, ,,,,,
 fruits, aluminum foil, bagels, eggs, flour, cheeses, paper towels, shampoo, aluminum foil, vegetables, coffee/tea, spaghetti sauce, juice, bagels
 dinner rolls, soda, dinner rolls, dinner rolls, hand soap, dinner rolls, all- purpose, tortillas, sugar, individual meals, bagels, soap, ketchup, individual meals
 yogurt, all- purpose, mixes, bagels, ,,,,,,,,,
 hand soap, laundry detergent, yogurt, aluminum foil, bagels, fruits, mixes, mixes, soda, sandwich bags, vegetables, ,,
 butter, ice cream, individual meals, all- purpose, ,,,,,,,,,
 pasta, poultry, cereals, soap, laundry detergent, pasta, vegetables, dishwashing liquid/detergent, paper towels, paper towels, toilet paper, lunch meat, fruits, pork
 eggs, dinner rolls, soap, individual meals, all- purpose, fruits, dinner rolls, laundry detergent, juice, dishwashing liquid/detergent, vegetables, ,,
 vegetables, dishwashing liquid/detergent, eggs, eggs, vegetables, soda, juice, sugar, ice cream, soap, pasta, dishwashing liquid/detergent, individual meals, coffee/tea
 beef, beef, mixes, vegetables, bagels, shampoo, milk, shampoo, flour, lunch meat, pork, yogurt, poultry, beef
 mixes, pork, ice cream, juice, dishwashing liquid/detergent, coffee/tea, vegetables, butter, toilet paper, mixes, juice, paper towels, sandwich loaves, dishwashing liquid/detergent
 cheeses, ketchup, flour, mixes, tortillas, shampoo, sandwich loaves, fruits, spaghetti sauce, lunch meat, lunch meat, mixes, dishwashing liquid/detergent, yogurt
 waffles, mixes, shampoo, laundry detergent, ketchup, paper towels, dinner rolls, ketchup, aluminum foil, ,,,,
 fruits, pork, flour, cheeses, yogurt, juice, lunch meat, ,,,,,,
 ketchup, vegetables, toilet paper, tortillas, juice, ketchup, spaghetti sauce, all- purpose, lunch meat, mixes, spaghetti sauce, ice cream, cheeses, paper towels
 vegetables, paper towels, shampoo, fruits, yogurt, dinner rolls, lunch meat, all- purpose, dishwashing liquid/detergent, vegetables, toilet paper, mixes, soda, laundry detergent
 vegetables, hand soap, milk, hand soap, beef, ,,,,,,,,
 aluminum foil, sandwich bags, mixes, dinner rolls, milk, tortillas, milk, fruits, pasta, pasta, lunch meat, yogurt, cheeses, vegetables
 toilet paper, juice, aluminum foil, all- purpose, beef, juice, paper towels, coffee/tea, individual meals, ,,,,
 individual meals, eggs, ice cream, bagels, vegetables, poultry, dinner rolls, vegetables, butter, mixes, tortillas, spaghetti sauce, cereals, tortillas
 waffles, flour, lunch meat, milk, tortillas, sandwich loaves, yogurt, flour, beef, shampoo, cereals, vegetables, waffles, aluminum foil
 beef, pork, aluminum foil, sandwich bags, soda, beef, toilet paper, poultry, soap, pasta, ketchup, ,,
 flour, mixes, dishwashing liquid/detergent, ketchup, ketchup, bagels, all- purpose, hand soap, shampoo, yogurt, hand soap, poultry, vegetables, aluminum foil
 cheeses, sandwich bags, cereals, laundry detergent, aluminum foil, yogurt, all- purpose, bagels, shampoo, soap, pasta, yogurt, lunch meat, vegetables
 beef, dinner rolls, ketchup, pasta, milk, soap, hand soap, coffee/tea, hand soap, vegetables, ice cream, eggs, bagels, flour
 beef, cheeses, ice cream, hand soap, laundry detergent, ketchup, juice, lunch meat, butter, vegetables, dishwashing liquid/detergent, vegetables, ,
 waffles, milk, laundry detergent, vegetables, dinner rolls, vegetables, milk, spaghetti sauce, toilet paper, pork, sugar, lunch meat, toilet paper, sandwich loaves
 flour, individual meals, flour, poultry, butter, hand soap, eggs, butter, flour, butter, ketchup, laundry detergent, spaghetti sauce, shampoo
 soap, dinner rolls, ice cream, sandwich loaves, toilet paper, sandwich bags, juice, ketchup, beef, cheeses, soap, paper towels, ,
 pork, sugar, sandwich bags, pasta, ketchup, sandwich bags, pork, sandwich loaves, spaghetti sauce, milk, bagels, ,,
 ketchup, pasta, tortillas, sandwich loaves, laundry detergent, soap, ,,,,,,,
 milk, flour, beef, soda, sandwich loaves, ice cream, fruits, ice cream, fruits, soda, all- purpose, ,,
 ice cream, bagels, pork, all- purpose, ice cream, ice cream, vegetables, pasta, poultry, dishwashing liquid/detergent, ice cream, hand soap, soap, butter
 individual meals, paper towels, mixes, ketchup, aluminum foil, juice, spaghetti sauce, fruits, ,,,,,
 pasta, dinner rolls, aluminum foil, sandwich loaves, ice cream, vegetables, butter, cereals, butter, beef, soda, toilet paper, cheeses, waffles
 coffee/tea, pasta, aluminum foil, lunch meat, sandwich loaves, sandwich bags, sugar, aluminum foil, tortillas, individual meals, juice, vegetables, ,
 all- purpose, vegetables, paper towels, fruits, poultry, poultry, mixes, vegetables, soda, milk, individual meals, sugar, yogurt, 
 dinner rolls, milk, tortillas, ice cream, vegetables, dinner rolls, poultry, vegetables, all- purpose, dishwashing liquid/detergent, vegetables, cereals, butter, hand soap
 spaghetti sauce, sandwich loaves, flour, soap, vegetables, eggs, vegetables, poultry, cereals, cheeses, fruits, vegetables, paper towels, flour
 milk, vegetables, dinner rolls, butter, all- purpose, sandwich loaves, waffles, yogurt, vegetables, coffee/tea, flour, bagels, vegetables, lunch meat
 beef, lunch meat, beef, mixes, individual meals, milk, shampoo, all- purpose, yogurt, individual meals, spaghetti sauce, paper towels, cereals, aluminum foil
 vegetables, dinner rolls, sugar, bagels, spaghetti sauce, dishwashing liquid/detergent, ,,,,,,,
 coffee/tea, eggs, toilet paper, dinner rolls, pasta, paper towels, tortillas, spaghetti sauce, waffles, all- purpose, bagels, aluminum foil, bagels, soda
 hand soap, sandwich bags, milk, milk, ,,,,,,,,,
 shampoo, eggs, beef, ice cream, paper towels, shampoo, individual meals, shampoo, pasta, milk, coffee/tea, pasta, waffles, pasta
 poultry, waffles, aluminum foil, coffee/tea, toilet paper, hand soap, mixes, dishwashing liquid/detergent, waffles, aluminum foil, pork, spaghetti sauce, beef, dinner rolls
 hand soap, eggs, soda, aluminum foil, poultry, tortillas, bagels, vegetables, sandwich bags, cheeses, sandwich bags, cereals, mixes, dinner rolls
 spaghetti sauce, tortillas, spaghetti sauce, vegetables, soda, spaghetti sauce, pasta, sandwich bags, spaghetti sauce, yogurt, bagels, toilet paper, shampoo, vegetables
 bagels, sandwich loaves, butter, vegetables, ,,,,,,,,,
 dinner rolls, pasta, soap, ketchup, paper towels, vegetables, juice, sugar, ice cream, sandwich bags, spaghetti sauce, ,,
